date,code,open,high,low,close,volume,stock_code,stock_name,market
2022-01-04,sz.002594,276.0,279.45,265.22,271.0,24466089,002594,比亚迪,SZ
2022-01-05,sz.002594,264.55,266.48,251.72,253.26,30170891,002594,比亚迪,SZ
2022-01-06,sz.002594,250.0,254.53,247.89,250.02,17590784,002594,比亚迪,SZ
2022-01-07,sz.002594,251.8,252.96,245.0,246.5,16193355,002594,比亚迪,SZ
2022-01-10,sz.002594,245.0,249.47,239.03,246.3,16214182,002594,比亚迪,SZ
2022-01-11,sz.002594,246.28,246.28,237.8,239.09,21244147,002594,比亚迪,SZ
2022-01-12,sz.002594,246.0,256.0,244.31,256.0,32360224,002594,比亚迪,SZ
2022-01-13,sz.002594,257.74,258.56,248.61,255.31,21710390,002594,比亚迪,SZ
2022-01-14,sz.002594,250.8,257.3,250.0,253.14,14954815,002594,比亚迪,SZ
2022-01-17,sz.002594,253.02,267.49,253.02,266.49,24114466,002594,比亚迪,SZ
2022-01-18,sz.002594,266.41,268.96,262.3,266.08,12505443,002594,比亚迪,SZ
2022-01-19,sz.002594,265.95,267.88,250.31,252.97,23188180,002594,比亚迪,SZ
2022-01-20,sz.002594,252.1,253.71,247.0,251.07,14998647,002594,比亚迪,SZ
2022-01-21,sz.002594,251.08,255.74,246.33,250.4,11239432,002594,比亚迪,SZ
2022-01-24,sz.002594,246.08,252.88,244.27,251.4,10837686,002594,比亚迪,SZ
2022-01-25,sz.002594,248.0,251.0,240.0,240.31,17277223,002594,比亚迪,SZ
2022-01-26,sz.002594,245.0,251.38,242.31,249.49,17444584,002594,比亚迪,SZ
2022-01-27,sz.002594,247.0,249.3,241.0,241.27,13264963,002594,比亚迪,SZ
2022-01-28,sz.002594,239.98,242.0,219.76,226.8,32437311,002594,比亚迪,SZ
2022-02-07,sz.002594,240.79,249.28,238.01,244.4,25112453,002594,比亚迪,SZ
2022-02-08,sz.002594,243.0,243.0,230.64,236.97,19903953,002594,比亚迪,SZ
2022-02-09,sz.002594,239.05,246.4,235.03,245.18,19992864,002594,比亚迪,SZ
2022-02-10,sz.002594,246.77,248.0,238.1,240.12,14628460,002594,比亚迪,SZ
2022-02-11,sz.002594,236.05,240.12,228.5,230.19,19943926,002594,比亚迪,SZ
2022-02-14,sz.002594,230.2,235.0,225.0,231.98,13319949,002594,比亚迪,SZ
2022-02-15,sz.002594,232.18,239.96,232.18,238.31,15852428,002594,比亚迪,SZ
2022-02-16,sz.002594,242.0,244.99,240.39,240.6,12872491,002594,比亚迪,SZ
2022-02-17,sz.002594,242.24,248.74,239.0,245.41,19106386,002594,比亚迪,SZ
2022-02-18,sz.002594,241.0,245.39,240.0,242.96,9910466,002594,比亚迪,SZ
2022-02-21,sz.002594,241.0,245.8,239.64,241.89,10953804,002594,比亚迪,SZ
2022-02-22,sz.002594,239.0,239.0,234.3,237.45,12545211,002594,比亚迪,SZ
2022-02-23,sz.002594,241.9,252.52,239.01,252.0,29114890,002594,比亚迪,SZ
2022-02-24,sz.002594,248.11,251.78,241.58,244.86,23821988,002594,比亚迪,SZ
2022-02-25,sz.002594,249.9,252.38,247.83,247.84,14601353,002594,比亚迪,SZ
2022-02-28,sz.002594,246.9,250.19,246.0,249.6,11829090,002594,比亚迪,SZ
2022-03-01,sz.002594,255.0,256.61,249.25,251.78,17651958,002594,比亚迪,SZ
2022-03-02,sz.002594,249.0,249.36,243.96,248.6,12124247,002594,比亚迪,SZ
2022-03-03,sz.002594,249.52,250.86,244.0,245.21,9963340,002594,比亚迪,SZ
2022-03-04,sz.002594,237.31,241.86,230.0,233.8,29170634,002594,比亚迪,SZ
2022-03-07,sz.002594,226.89,227.69,220.02,223.61,23612920,002594,比亚迪,SZ
2022-03-08,sz.002594,221.08,225.49,210.0,216.19,29149934,002594,比亚迪,SZ
2022-03-09,sz.002594,217.0,223.6,210.0,223.59,25113522,002594,比亚迪,SZ
2022-03-10,sz.002594,232.91,233.43,229.0,229.1,24834283,002594,比亚迪,SZ
2022-03-11,sz.002594,222.0,231.79,220.02,229.85,18611604,002594,比亚迪,SZ
2022-03-14,sz.002594,225.0,225.0,219.0,219.0,15084061,002594,比亚迪,SZ
2022-03-15,sz.002594,211.13,222.0,209.43,212.8,19820362,002594,比亚迪,SZ
2022-03-16,sz.002594,221.0,230.0,214.2,229.43,33376627,002594,比亚迪,SZ
2022-03-17,sz.002594,240.38,240.88,234.66,234.9,31584430,002594,比亚迪,SZ
2022-03-18,sz.002594,234.9,238.87,232.05,234.5,15054856,002594,比亚迪,SZ
2022-03-21,sz.002594,240.0,248.87,238.17,245.38,27917768,002594,比亚迪,SZ
2022-03-22,sz.002594,245.0,247.4,242.02,244.8,11507907,002594,比亚迪,SZ
2022-03-23,sz.002594,250.0,251.0,246.27,247.17,14850096,002594,比亚迪,SZ
2022-03-24,sz.002594,243.7,250.0,242.4,247.08,11368127,002594,比亚迪,SZ
2022-03-25,sz.002594,247.1,248.96,234.01,235.31,20802373,002594,比亚迪,SZ
2022-03-28,sz.002594,234.9,234.9,228.88,230.4,14310354,002594,比亚迪,SZ
2022-03-29,sz.002594,232.92,236.5,228.8,231.0,13858731,002594,比亚迪,SZ
2022-03-30,sz.002594,227.0,237.02,222.22,237.02,25125996,002594,比亚迪,SZ
2022-03-31,sz.002594,234.21,235.0,226.89,229.8,16173143,002594,比亚迪,SZ
2022-04-01,sz.002594,226.79,239.56,226.6,235.96,18294805,002594,比亚迪,SZ
2022-04-06,sz.002594,245.0,246.0,239.61,241.9,20529330,002594,比亚迪,SZ
2022-04-07,sz.002594,240.0,245.3,239.01,240.0,12269953,002594,比亚迪,SZ
2022-04-08,sz.002594,240.01,246.5,239.1,243.98,17171897,002594,比亚迪,SZ
2022-04-11,sz.002594,240.0,241.48,229.5,233.0,19307007,002594,比亚迪,SZ
2022-04-12,sz.002594,232.0,238.56,231.2,238.16,12888867,002594,比亚迪,SZ
2022-04-13,sz.002594,235.02,241.95,233.01,237.0,10967251,002594,比亚迪,SZ
2022-04-14,sz.002594,242.0,244.99,240.87,241.29,13163750,002594,比亚迪,SZ
2022-04-15,sz.002594,238.5,240.0,232.75,236.2,12923931,002594,比亚迪,SZ
2022-04-18,sz.002594,234.79,241.0,230.0,239.1,11059238,002594,比亚迪,SZ
2022-04-19,sz.002594,243.16,250.9,243.13,244.86,20778154,002594,比亚迪,SZ
2022-04-20,sz.002594,247.66,248.33,240.86,241.78,13078093,002594,比亚迪,SZ
2022-04-21,sz.002594,237.77,240.77,232.1,234.04,15404876,002594,比亚迪,SZ
2022-04-22,sz.002594,230.01,235.66,229.06,235.4,10816219,002594,比亚迪,SZ
2022-04-25,sz.002594,230.0,236.44,226.62,227.5,16188917,002594,比亚迪,SZ
2022-04-26,sz.002594,228.99,235.85,228.43,231.81,15817620,002594,比亚迪,SZ
2022-04-27,sz.002594,226.61,235.81,218.81,235.01,25434167,002594,比亚迪,SZ
2022-04-28,sz.002594,234.6,235.5,230.0,231.98,14637213,002594,比亚迪,SZ
2022-04-29,sz.002594,233.8,243.83,230.75,243.0,24816310,002594,比亚迪,SZ
2022-05-05,sz.002594,246.2,252.39,241.77,248.8,25325879,002594,比亚迪,SZ
2022-05-06,sz.002594,241.02,246.0,240.1,242.08,14548866,002594,比亚迪,SZ
2022-05-09,sz.002594,231.0,236.89,231.0,232.73,17511635,002594,比亚迪,SZ
2022-05-10,sz.002594,224.1,233.66,222.28,233.33,20969664,002594,比亚迪,SZ
2022-05-11,sz.002594,232.0,256.66,231.5,252.7,45952571,002594,比亚迪,SZ
2022-05-12,sz.002594,249.99,257.7,248.71,254.09,24115606,002594,比亚迪,SZ
2022-05-13,sz.002594,259.8,271.5,255.91,270.08,36712061,002594,比亚迪,SZ
2022-05-16,sz.002594,271.11,273.0,265.3,267.12,20236880,002594,比亚迪,SZ
2022-05-17,sz.002594,268.98,285.0,268.5,282.5,29348903,002594,比亚迪,SZ
2022-05-18,sz.002594,282.5,288.0,279.0,281.42,20530270,002594,比亚迪,SZ
2022-05-19,sz.002594,275.31,285.35,274.3,284.51,17363651,002594,比亚迪,SZ
2022-05-20,sz.002594,287.01,291.61,281.2,287.7,17868336,002594,比亚迪,SZ
2022-05-23,sz.002594,292.7,298.0,287.81,295.2,25558816,002594,比亚迪,SZ
2022-05-24,sz.002594,290.0,292.96,281.0,281.0,29049653,002594,比亚迪,SZ
2022-05-25,sz.002594,281.26,288.65,278.03,287.2,23085773,002594,比亚迪,SZ
2022-05-26,sz.002594,287.37,291.22,282.5,286.64,14309499,002594,比亚迪,SZ
2022-05-27,sz.002594,292.95,297.61,286.65,288.88,15318685,002594,比亚迪,SZ
2022-05-30,sz.002594,292.0,299.7,291.08,298.12,21852350,002594,比亚迪,SZ
2022-05-31,sz.002594,300.0,300.96,293.51,295.91,17701119,002594,比亚迪,SZ
2022-06-01,sz.002594,298.0,304.8,293.12,299.98,21691175,002594,比亚迪,SZ
2022-06-02,sz.002594,296.0,305.0,295.22,301.02,17772777,002594,比亚迪,SZ
2022-06-06,sz.002594,304.0,320.47,302.55,318.23,29475729,002594,比亚迪,SZ
2022-06-07,sz.002594,318.0,319.87,311.11,314.89,20022089,002594,比亚迪,SZ
2022-06-08,sz.002594,318.6,328.06,313.01,327.41,29051340,002594,比亚迪,SZ
2022-06-09,sz.002594,334.03,334.8,321.0,322.41,30754172,002594,比亚迪,SZ
2022-06-10,sz.002594,321.5,350.0,321.06,348.8,43824900,002594,比亚迪,SZ
2022-06-13,sz.002594,346.0,358.86,340.6,348.8,36068132,002594,比亚迪,SZ
2022-06-14,sz.002594,342.0,344.79,327.23,343.59,40478934,002594,比亚迪,SZ
2022-06-15,sz.002594,343.97,346.23,332.52,335.0,30394787,002594,比亚迪,SZ
2022-06-16,sz.002594,335.5,342.7,333.41,336.0,19017245,002594,比亚迪,SZ
2022-06-17,sz.002594,330.1,341.2,327.07,338.0,26214759,002594,比亚迪,SZ
2022-06-20,sz.002594,338.08,348.66,335.02,342.18,24541557,002594,比亚迪,SZ
2022-06-21,sz.002594,339.76,341.8,332.2,341.0,19782739,002594,比亚迪,SZ
2022-06-22,sz.002594,342.42,347.63,338.0,339.88,18678783,002594,比亚迪,SZ
2022-06-23,sz.002594,344.7,354.05,338.0,353.5,32314226,002594,比亚迪,SZ
2022-06-24,sz.002594,352.99,356.28,346.01,351.05,23598355,002594,比亚迪,SZ
2022-06-27,sz.002594,352.07,357.0,348.33,349.69,21715524,002594,比亚迪,SZ
2022-06-28,sz.002594,347.0,358.8,342.71,352.9,26963471,002594,比亚迪,SZ
2022-06-29,sz.002594,349.99,350.0,331.49,331.61,36114602,002594,比亚迪,SZ
2022-06-30,sz.002594,331.0,339.35,330.0,333.49,22014478,002594,比亚迪,SZ
2022-07-01,sz.002594,332.18,333.0,320.1,329.2,23411263,002594,比亚迪,SZ
